SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,1360,9327,6.85809,3218,1633,0.507458,0.324142,0.249531,0.211324,0.178632,0.150142,0.12783,0.12783,0.12783,0.12783,0.485678
3,0,0,10,protocol,7.5,1360,16498,12.1309,3425,2252,0.657518,0.463974,0.378862,0.331862,0.294287,0.258746,0.22306,0.22306,0.22306,0.22306,0.34196
4,2.048,4,10,protocol,7.5,1360,18198,13.3809,3547,2400,0.676628,0.499787,0.413203,0.366919,0.323987,0.282415,0.243009,0.243009,0.243009,0.243009,0.266934
5,4.608,9,10,protocol,7.5,1360,17912,13.1706,3362,2105,0.626115,0.459931,0.386096,0.343829,0.310043,0.273732,0.235616,0.235616,0.235616,0.235616,0.222969
6,8.192,16,10,protocol,7.5,1360,18142,13.3397,3227,2070,0.641463,0.470825,0.388271,0.339298,0.304195,0.272713,0.235351,0.235351,0.235351,0.235351,0.193421
7,9.728,19,10,protocol,7.5,1360,17975,13.2169,3279,2123,0.647453,0.462182,0.383197,0.339226,0.302307,0.266891,0.231133,0.231133,0.231133,0.231133,0.172799
8,7.68,15,10,protocol,7.5,1360,18632,13.7,3214,2035,0.633167,0.449583,0.378367,0.339014,0.308245,0.272374,0.237811,0.237811,0.237811,0.237811,0.156626
9,8.704,17,10,protocol,7.5,1360,18296,13.4529,3396,2095,0.616902,0.434599,0.36438,0.327948,0.295765,0.264521,0.230402,0.230402,0.230402,0.230402,0.145186
10,7.68,15,10,protocol,7.5,1360,18905,13.9007,3547,2166,0.610657,0.447436,0.376865,0.33827,0.306254,0.271273,0.2355,0.2355,0.2355,0.2355,0.135056
11,6.144,12,10,protocol,7.5,1360,17497,12.8654,3610,2191,0.606925,0.43173,0.355331,0.314245,0.282001,0.248975,0.215536,0.215536,0.215536,0.215536,0.126784
12,5.632,11,10,protocol,7.5,1360,18886,13.8868,3755,2368,0.630626,0.45601,0.37687,0.332486,0.300619,0.265731,0.230714,0.230714,0.230714,0.230714,0.119644
13,8.704,17,10,protocol,7.5,1360,18540,13.6324,3691,2287,0.619615,0.460364,0.371513,0.32305,0.290518,0.257517,0.224749,0.224749,0.224749,0.224749,0.114109
14,8.704,17,10,protocol,7.5,1360,18712,13.7588,3760,2322,0.617553,0.443197,0.360085,0.320768,0.291056,0.258346,0.225343,0.225343,0.225343,0.225343,0.109923
