SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,1360,17850,13.125,3218,2157,0.670292,0.49038,0.410307,0.366027,0.324979,0.284465,0.244641,0.244641,0.244641,0.244641,0.0563086
3,2.048,4,10,protocol,7.5,1360,16735,12.3051,3425,2293,0.669489,0.488626,0.398191,0.345829,0.302005,0.263122,0.226265,0.226265,0.226265,0.226265,0.0712711
4,4.096,8,10,protocol,7.5,1360,18263,13.4287,3547,2319,0.653792,0.485961,0.404967,0.358722,0.317747,0.282684,0.243877,0.243877,0.243877,0.243877,0.0643256
5,4.096,8,10,protocol,7.5,1360,16453,12.0978,3362,2112,0.628198,0.449358,0.366679,0.323661,0.288162,0.252334,0.216424,0.216424,0.216424,0.216424,0.0699296
6,3.584,7,10,protocol,7.5,1360,18536,13.6294,3227,2094,0.6489,0.468688,0.384868,0.34165,0.310282,0.278787,0.240462,0.240462,0.240462,0.240462,0.0662693
7,4.608,9,10,protocol,7.5,1360,16202,11.9132,3279,1957,0.596828,0.426926,0.35095,0.309688,0.27553,0.241642,0.208335,0.208335,0.208335,0.208335,0.0698184
8,7.168,14,10,protocol,7.5,1360,18030,13.2574,3214,1982,0.616677,0.432509,0.365113,0.327463,0.297211,0.263798,0.230127,0.230127,0.230127,0.230127,0.0672833
9,4.608,9,10,protocol,7.5,1360,17835,13.114,3396,2146,0.63192,0.448117,0.368663,0.327336,0.293374,0.258519,0.224597,0.224597,0.224597,0.224597,0.0686368
10,4.096,8,10,protocol,7.5,1360,18519,13.6169,3547,2191,0.617705,0.444012,0.371714,0.330196,0.296754,0.265525,0.230692,0.230692,0.230692,0.230692,0.0668152
11,4.096,8,10,protocol,7.5,1360,16328,12.0059,3610,2087,0.578116,0.403724,0.327872,0.291029,0.26304,0.231702,0.201136,0.201136,0.201136,0.201136,0.0689849
12,4.608,9,10,protocol,7.5,1360,17929,13.1831,3755,2348,0.6253,0.443507,0.361005,0.319071,0.285423,0.251911,0.219023,0.219023,0.219023,0.219023,0.0675789
13,7.168,14,10,protocol,7.5,1360,17198,12.6456,3691,2224,0.602547,0.422887,0.341822,0.300612,0.270989,0.23903,0.208481,0.208481,0.208481,0.208481,0.0683453
