SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,1360,10682,7.85441,3218,2318,0.720323,0.581612,0.447894,0.305342,0.218549,0.174025,0.146401,0.146401,0.146401,0.146401,0.618972
3,6.144,12,10,protocol,7.5,1360,13637,10.0272,3425,2780,0.811679,0.677969,0.539212,0.380273,0.271254,0.218552,0.184378,0.184378,0.184378,0.184378,0.496249
4,12.288,24,10,protocol,7.5,1360,16139,11.8669,3547,2962,0.835072,0.731587,0.601424,0.438239,0.314705,0.25513,0.215514,0.215514,0.215514,0.215514,0.404307
5,9.216,18,10,protocol,7.5,1360,16555,12.1728,3362,2840,0.844735,0.732399,0.604216,0.43343,0.318035,0.258007,0.217766,0.217766,0.217766,0.217766,0.344602
6,6.144,12,10,protocol,7.5,1360,16919,12.4404,3227,2716,0.841649,0.724195,0.602379,0.431665,0.319848,0.260798,0.219485,0.219485,0.219485,0.219485,0.302651
7,6.144,12,10,protocol,7.5,1360,16736,12.3059,3279,2714,0.827691,0.696112,0.581996,0.416904,0.311425,0.253645,0.215201,0.215201,0.215201,0.215201,0.27156
8,4.608,9,10,protocol,7.5,1360,17057,12.5419,3214,2669,0.830429,0.700789,0.581173,0.419452,0.314195,0.254848,0.217708,0.217708,0.217708,0.217708,0.247548
9,6.144,12,10,protocol,7.5,1360,17900,13.1618,3396,2769,0.815371,0.70261,0.594823,0.436922,0.32434,0.264625,0.225415,0.225415,0.225415,0.225415,0.228481
10,5.12,10,10,protocol,7.5,1360,17583,12.9287,3547,2895,0.816183,0.690841,0.575373,0.425907,0.316366,0.257827,0.219032,0.219032,0.219032,0.219032,0.2129
11,4.096,8,10,protocol,7.5,1360,17329,12.7419,3610,2890,0.800554,0.685027,0.566617,0.413088,0.309978,0.251105,0.213467,0.213467,0.213467,0.213467,0.199913
12,4.096,8,10,protocol,7.5,1360,17374,12.775,3755,3100,0.825566,0.699241,0.570795,0.40787,0.308066,0.249598,0.212243,0.212243,0.212243,0.212243,0.188959
13,4.096,8,10,protocol,7.5,1360,17735,13.0404,3691,3024,0.81929,0.702267,0.571049,0.413663,0.311753,0.252004,0.214991,0.214991,0.214991,0.214991,0.1796
14,4.096,8,10,protocol,7.5,1360,17339,12.7493,3760,3003,0.79867,0.680801,0.55594,0.401221,0.302828,0.244967,0.208808,0.208808,0.208808,0.208808,0.171535
