SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,2030,29331,14.4488,6824,5336,0.781946,0.624402,0.506981,0.362079,0.26079,0.207286,0.174762,0.174762,0.174762,0.174762,0.0565039
3,0,0,10,protocol,7.5,2030,29557,14.5601,7276,5476,0.752611,0.618409,0.494643,0.354637,0.256591,0.204915,0.173324,0.173324,0.173324,0.173324,0.0671909
4,0,0,10,protocol,7.5,2030,31487,15.5108,7558,5744,0.759989,0.628739,0.510186,0.368654,0.268091,0.214965,0.181962,0.181962,0.181962,0.181962,0.0614103
5,3.072,6,10,protocol,7.5,2030,30203,14.8783,7713,5610,0.727343,0.594915,0.475874,0.344584,0.252268,0.202718,0.171581,0.171581,0.171581,0.171581,0.0659375
6,4.096,8,10,protocol,7.5,2030,31158,15.3488,7984,5836,0.730962,0.594837,0.477859,0.345322,0.25554,0.20638,0.174185,0.174185,0.174185,0.174185,0.0630808
7,2.048,4,10,protocol,7.5,2030,30516,15.0325,8053,5822,0.72296,0.574263,0.45808,0.331495,0.24591,0.199411,0.168341,0.168341,0.168341,0.168341,0.0656954
8,4.608,9,10,protocol,7.5,2030,32029,15.7778,8189,5927,0.723776,0.577666,0.464984,0.338766,0.254544,0.205931,0.174358,0.174358,0.174358,0.174358,0.0634257
9,2.048,4,10,protocol,7.5,2030,31411,15.4734,8431,5996,0.711185,0.573424,0.456729,0.32627,0.246312,0.199056,0.168744,0.168744,0.168744,0.168744,0.0652148
10,6.656,13,10,protocol,7.5,2030,31681,15.6064,8755,6071,0.693432,0.56153,0.447689,0.324118,0.244709,0.197692,0.167901,0.167901,0.167901,0.167901,0.06381
11,2.048,4,10,protocol,7.5,2030,29780,14.67,8784,6097,0.694103,0.544927,0.422215,0.301224,0.226771,0.183389,0.15622,0.15622,0.15622,0.15622,0.0671467
12,2.56,5,10,protocol,7.5,2030,32272,15.8975,9105,6571,0.721691,0.567911,0.447984,0.323504,0.242217,0.196349,0.167563,0.167563,0.167563,0.167563,0.0667544
13,1.536,3,10,protocol,7.5,2030,31066,15.3034,9043,6277,0.694128,0.551894,0.429892,0.310385,0.230657,0.186994,0.159845,0.159845,0.159845,0.159845,0.0682088
